 ,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,Nm,rpm,hp
776,Renault KWID RXT,2016,261000,90000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,72Nm@ 4386rpm,5,72,,
777,Chevrolet Sail 1.2 LS ABS,2015,371000,40000,Petrol,Individual,Manual,First Owner,18.2,1199,82.4,108.5Nm@ 5000rpm,5,108,,
778,Mahindra Bolero DI Non AC BSIII,2010,320000,300000,Diesel,Individual,Manual,Third Owner,13.6,2523,63.0,180 Nm at 1440-1500rpm,7,1765,,
779,Tata Indigo CS LX (TDI) BS III,2012,204999,120000,Diesel,Individual,Manual,Second Owner,19.09,1396,69.0,135Nm@ 2500rpm,5,135,,
780,Ford Fusion 1.4 TDCi Diesel,2009,150000,100000,Diesel,Individual,Manual,Fourth & Above Owner,17.7,1399,68.0,"16@ 2,000(kgm@ rpm)",5,156,,
781,Mahindra Bolero 2011-2019 SLX,2016,625000,90000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,195Nm@ 1400-2200rpm,7,195,,
782,Mahindra Scorpio 1.99 S10,2017,1300000,50000,Diesel,Individual,Manual,Second Owner,15.4,1997,120.0,280Nm@ 1800-2800rpm,7,280,,
783,Skoda Octavia Ambition 2.0 TDI MT,2015,900000,168000,Diesel,Individual,Manual,First Owner,20.6,1968,141.0,320Nm@ 1750-3000rpm,5,320,,
784,Ford Figo Diesel Titanium,2010,180000,110000,Diesel,Individual,Manual,Second Owner,20.0,1399,68.0,160Nm@ 2000rpm,5,160,,
785,Mahindra Bolero SLX,2010,421000,120000,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,180 Nm at 1440-1500rpm,7,1765,,
786,Honda WR-V i-DTEC VX,2017,900000,40000,Diesel,Individual,Manual,First Owner,25.5,1498,98.6,200Nm@ 1750rpm,5,200,,
787,Hyundai i20 Magna 1.4 CRDi,2010,270000,100000,Diesel,Individual,Manual,Fourth & Above Owner,21.9,1396,90.0,22.4 kgm at 1750-2750rpm,5,219,,
788,Maruti Vitara Brezza VDi,2017,750000,40000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200Nm@ 1750rpm,5,200,,
789,Hyundai Elite i20 Petrol Asta Option,2019,750000,30000,Petrol,Individual,Manual,First Owner,18.6,1197,81.86,114.73nm@ 4000rpm,5,114,,
790,Ford Figo Diesel Titanium,2011,190000,90000,Diesel,Individual,Manual,Second Owner,20.0,1399,68.0,160Nm@ 2000rpm,5,160,,
791,Toyota Innova 2.5 G4 Diesel 7-seater,2009,395000,200000,Diesel,Individual,Manual,Third Owner,12.8,2494,102.0,20.4@ 1400-3400(kgm@ rpm),7,200,,
792,Toyota Fortuner 3.0 Diesel,2010,800000,125000,Diesel,Individual,Manual,Second Owner,11.5,2982,171.0,343Nm@ 1400-3400rpm,7,343,,
793,Hyundai i20 1.2 Sportz,2011,315000,80000,Petrol,Individual,Manual,First Owner,17.0,1197,80.0,"11.4 kgm at 4,000 rpm",5,111,,
794,Audi A4 2.0 TDI,2014,1600000,44000,Diesel,Individual,Automatic,Second Owner,16.55,1968,147.51,320Nm@ 1750-2500rpm,5,320,,
795,Toyota Etios GD,2013,409999,90000,Diesel,Individual,Manual,First Owner,23.59,1364,67.04,170Nm@ 1800-2400rpm,5,170,,
796,Hyundai i20 Sportz 1.2,2013,340000,70000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,113.7Nm@ 4000rpm,5,113,,
797,Hyundai EON Magna Plus,2015,270000,43000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,74.5Nm@ 4000rpm,5,74,,
798,Tata Zest Quadrajet 1.3 75PS XE,2017,280000,80000,Diesel,Individual,Manual,First Owner,22.95,1248,74.0,190Nm@ 1750-3000rpm,5,190,,
799,Tata Indica Vista Quadrajet VX,2012,130000,60000,Diesel,Individual,Manual,First Owner,22.3,1248,74.0,190Nm@ 1750-3000rpm,5,190,,
800,Hyundai EON Era Plus,2014,260000,18945,Petrol,Individual,Manual,First Owner,21.1,814,55.2,74.5Nm@ 4000rpm,5,74,,
801,Hyundai Grand i10 1.2 CRDi Asta,2018,710000,70000,Diesel,Individual,Manual,First Owner,24.0,1186,73.97,190.24nm@ 1750-2250rpm,5,190,,
802,Maruti Eeco Smiles 7 Seater Standard,2013,204999,100000,Petrol,Individual,Manual,Third Owner,15.1,1196,73.0,101Nm@ 3000rpm,7,101,,
803,Datsun GO Plus Anniversary Edition,2017,300000,60000,Petrol,Individual,Manual,First Owner,20.62,1198,67.0,104Nm@ 4000rpm,7,104,,
804,Maruti Swift Dzire VDi,2009,180000,144000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,190Nm@ 2000rpm,5,190,,
805,Mahindra TUV 300 T6 Plus,2016,700000,120000,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,240Nm@ 1600-2800rpm,7,240,,
806,Hyundai i20 1.4 CRDi Magna,2012,320000,107825,Diesel,Individual,Manual,Second Owner,21.9,1396,90.0,22.4 kgm at 1750-2750rpm,5,219,,
807,Maruti Alto 800 VXI Plus,2020,370000,15000,Petrol,Individual,Manual,First Owner,22.05,796,47.3,69Nm@ 3500rpm,5,69,,
808,Renault KWID RXT Optional,2018,340000,10000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,72Nm@ 4386rpm,5,72,,
809,Maruti XL6 Alpha,2019,1040000,1620,Petrol,Individual,Manual,First Owner,19.01,1462,103.2,138nm@ 4400rpm,6,138,,
810,Hyundai i20 Active SX Diesel,2018,750000,30000,Diesel,Individual,Manual,First Owner,21.19,1396,88.76,219.66nm@ 1500-2750rpm,5,219,,
811,Mahindra TUV 300 Plus P4 BSIV,2018,600000,70000,Diesel,Individual,Manual,First Owner,18.49,2179,120.0,280Nm@ 1800-2800rpm,9,280,,
812,Mahindra Bolero 2011-2019 DI - AC BS III,2016,550000,70000,Diesel,Individual,Manual,First Owner,15.96,2523,63.0,180Nm@ 1440-1500rpm,9,180,,
813,Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,2013,600000,95000,Diesel,Individual,Manual,Second Owner,12.99,2494,100.57,200Nm@ 1400-3400rpm,7,200,,
814,Tata Tigor 1.05 Revotorq XZ Option,2017,550000,50000,Diesel,Individual,Manual,First Owner,24.7,1047,69.0,140Nm@ 1800-3000rpm,5,140,,
815,Honda City i DTEC VX Option,2015,750000,160000,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,200Nm@ 1750rpm,5,200,,
816,Hyundai Santro Magna BSIV,2019,450000,10000,Petrol,Individual,Manual,First Owner,20.3,1086,68.0,99Nm@ 4500rpm,5,99,,
817,Maruti Ertiga VDI,2012,400000,100000,Diesel,Individual,Manual,Third Owner,20.77,1248,88.76,200Nm@ 1750rpm,7,200,,
818,Maruti Swift VDI Optional,2016,520000,50000,Diesel,Individual,Manual,Second Owner,25.2,1248,74.0,190Nm@ 2000rpm,5,190,,
819,Maruti Alto K10 Knightracer,2013,199000,60000,Petrol,Individual,Manual,Second Owner,20.2,998,67.1,90Nm@ 3500rpm,5,90,,
820,Chevrolet Beat Diesel LT,2012,150000,110000,Diesel,Individual,Manual,First Owner,25.44,936,57.6,150Nm@ 1750rpm,5,150,,
821,Hyundai i20 Active 1.4 SX with AVN,2016,540000,80000,Diesel,Individual,Manual,Third Owner,21.19,1396,88.73,219.66nm@ 1500-2750rpm,5,219,,
822,Maruti SX4 ZDI,2011,250000,85000,Diesel,Individual,Manual,Second Owner,21.5,1248,88.8,200Nm@ 1750rpm,5,200,,
823,Maruti Wagon R LXI Minor,2010,200000,90000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,84Nm@ 3500rpm,5,84,,
824,Tata Indica V2 2001-2011 eLX,2011,130000,90000,Diesel,Individual,Manual,Second Owner,25.0,1396,69.0,140Nm@ 1800-3000rpm,5,140,,
825,Maruti 800 AC,2007,90000,90000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,59Nm@ 2500rpm,4,59,,
826,Hyundai Verna 1.6 SX,2012,450000,120000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,259.8Nm@ 1900-2750rpm,5,259,,
827,Hyundai Verna CRDi SX ABS,2009,280000,120000,Diesel,Individual,Manual,First Owner,18.1,1493,110.0,"24@ 1,900-2,750(kgm@ rpm)",5,235,,
828,Tata New Safari 3L Dicor LX 4x2,2007,280000,160000,Diesel,Individual,Manual,Second Owner,13.93,2956,138.1,320Nm@ 1700-2700rpm,7,320,,
829,Maruti Swift Ldi BSIII,2008,290000,100000,Diesel,Individual,Manual,Second Owner,17.8,1248,75.0,190Nm@ 2000rpm,5,190,,
830,Hyundai Creta 1.4 EX Diesel,2019,1000000,15000,Diesel,Individual,Manual,First Owner,22.1,1396,88.7,219.7Nm@ 1500-2750rpm,5,219,,
831,Maruti Swift Dzire VDi,2012,415000,108000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,190Nm@ 2000rpm,5,190,,
832,Maruti Swift Dzire VDI,2012,415000,108000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,190Nm@ 2000rpm,5,190,,
833,Chevrolet Beat Diesel LT,2015,240000,55000,Diesel,Individual,Manual,First Owner,25.44,936,56.3,142.5Nm@ 1750rpm,5,142,,
834,Tata Indica Vista Aura 1.3 Quadrajet (ABS) BS IV,2010,250000,37944,Diesel,Individual,Manual,First Owner,18.4,1248,75.0,190Nm@ 1750rpm,5,190,,
835,Ford Figo Diesel EXI,2011,175000,90400,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,160Nm@ 2000rpm,5,160,,
836,Hyundai Verna CRDi SX,2008,220000,85000,Diesel,Individual,Manual,Second Owner,16.8,1493,110.0,"24@ 1,900-2,750(kgm@ rpm)",5,235,,
837,Maruti Swift Dzire VXI 1.2,2019,675000,5000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,113Nm@ 4200rpm,5,113,,
838,Renault Duster 85PS Diesel RxL,2016,535000,50000,Diesel,Individual,Manual,First Owner,19.87,1461,83.8,200Nm@ 1750rpm,5,200,,
839,Renault Triber RXZ BSIV,2019,675000,5000,Petrol,Individual,Manual,First Owner,20.0,999,72.0,96Nm@ 3500rpm,7,96,,
840,Maruti Vitara Brezza ZDi Plus Dual Tone,2016,800000,90000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200Nm@ 1750rpm,5,200,,
841,Maruti Ertiga ZDI,2012,425000,96000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.8,200Nm@ 1750rpm,7,200,,
842,Maruti Eeco 5 Seater AC BSIV,2011,150000,80000,Petrol,Individual,Manual,Third Owner,15.37,1196,73.0,101Nm@ 3000rpm,5,101,,
843,Maruti Zen Estilo 1.1 LXI BSIII,2007,90000,60000,Petrol,Individual,Manual,Second Owner,18.2,1061,64.0,84Nm@ 3500rpm,5,84,,
844,Mahindra XUV500 W6 2WD,2015,850000,90000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,330Nm@ 1600-2800rpm,7,330,,
845,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2008,330000,193623,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,20.4@ 1400-3400(kgm@ rpm),8,200,,
846,Hyundai i20 1.4 Asta Option,2017,850000,63186,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5,219,,
847,Mahindra Bolero SLX,2008,305000,219000,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,180 Nm at 1440-1500rpm,7,1765,,
848,Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,910000,110000,Diesel,Individual,Manual,Second Owner,12.99,2494,100.0,200Nm@ 1400-3400rpm,7,200,,
849,Toyota Innova 2.5 VX 8 STR,2012,1100000,151000,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,20.4@ 1400-3400(kgm@ rpm),8,200,,
850,Maruti Baleno Zeta Automatic,2019,675000,5000,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1,115Nm@ 4000rpm,5,115,,
851,Maruti Alto LXi BSIII,2010,150000,91500,Petrol,Individual,Manual,First Owner,19.7,796,46.3,62Nm@ 3000rpm,5,62,,
852,Maruti Swift VDI BSIV,2015,550000,23000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,190Nm@ 2000rpm,5,190,,
853,Volkswagen Vento Diesel Highline,2012,350000,40000,Diesel,Individual,Manual,First Owner,20.54,1598,103.6,250Nm@ 1500-2500rpm,5,250,,
854,Maruti Ritz VDi,2012,300000,70000,Diesel,Individual,Manual,First Owner,23.2,1248,73.94,190Nm@ 2000rpm,5,190,,
855,Toyota Innova Crysta 2.8 GX AT BSIV,2018,1745000,10000,Diesel,Individual,Automatic,First Owner,11.36,2755,171.5,360Nm@ 1200-3400rpm,7,360,,
856,Mahindra Scorpio 2009-2014 EX 2WD 7S,2014,611000,90000,Diesel,Individual,Manual,Second Owner,14.0,2523,75.0,200Nm@ 1400-2200rpm,7,200,,
857,Honda Brio S MT,2016,400000,68000,Petrol,Individual,Manual,First Owner,19.4,1198,86.8,109Nm@ 4500rpm,5,109,,
858,Hyundai Elantra CRDi SX,2013,700000,120000,Diesel,Individual,Manual,First Owner,22.7,1582,126.24,259.87Nm@ 1900-2750rpm,5,259,,
859,Chevrolet Sail Hatchback LS ABS,2013,300000,65000,Diesel,Individual,Manual,First Owner,22.1,1248,76.9,205Nm@ 1750rpm,5,205,,
860,Maruti Wagon R VXI BS IV,2011,200000,94000,Petrol,Individual,Manual,Third Owner,18.9,998,67.1,90Nm@ 3500rpm,5,90,,
861,Hyundai i20 Asta Option 1.4 CRDi,2015,650000,100000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5,219,,
862,Hyundai i20 Asta Option 1.4 CRDi,2015,650000,80000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5,219,,
863,Volkswagen Polo Diesel Trendline 1.2L,2013,350000,80000,Diesel,Individual,Manual,Third Owner,22.07,1199,73.9,180Nm@ 2000rpm,5,180,,
864,Tata Indica V2 DL BSIII,2011,75000,140500,Diesel,Individual,Manual,Third Owner,17.88,1396,52.8,85Nm@ 2500rpm,5,85,,
865,Maruti Swift Dzire VXi,2010,240000,143000,Petrol,Individual,Manual,First Owner,17.5,1298,85.8,114Nm@ 4000rpm,5,114,,
866,Maruti Alto K10 2010-2014 VXI,2013,240000,60000,Petrol,Individual,Manual,First Owner,20.92,998,67.1,90Nm@ 3500rpm,5,90,,
867,Tata Indica Vista Aura 1.3 Quadrajet (ABS) BS IV,2011,180000,120000,Diesel,Individual,Manual,Second Owner,18.4,1248,75.0,190Nm@ 1750rpm,5,190,,
868,Hyundai Santa Fe 4WD AT,2014,900000,80000,Diesel,Individual,Automatic,Second Owner,13.01,2199,194.3,436.39Nm@ 1800-2500rpm,7,436,,
869,Mahindra Thar DI 4X4,2014,425000,63000,Diesel,Individual,Manual,Second Owner,18.06,2523,63.0,182.5Nm@ 1500-1800rpm,7,182,,
870,Chevrolet Spark 1.0 LT,2009,95000,120000,Petrol,Individual,Manual,Third Owner,18.0,995,62.0,90.3Nm@ 4200rpm,5,90,,
871,Maruti Swift Dzire VDI,2018,811000,100000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,190Nm@ 2000rpm,5,190,,
872,Hyundai Verna VTVT 1.6 SX Option,2018,1100000,60000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,151Nm@ 4850rpm,5,151,,
873,Chevrolet Tavera Neo 3 LT 9 Seats BSIII,2013,600000,90000,Diesel,Individual,Manual,First Owner,13.58,2499,72.4,171Nm@ 1800rpm,9,171,,
874,Maruti Ertiga VDI,2014,550000,50000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,200Nm@ 1750rpm,7,200,,
875,Mahindra Scorpio S4 Plus 4WD,2015,715000,70000,Diesel,Individual,Manual,First Owner,15.4,2179,120.0,280Nm@ 1800-2800rpm,7,280,,
876,Mahindra Scorpio EX,2013,500000,195000,Diesel,Individual,Manual,First Owner,14.0,2523,75.0,200Nm@ 1400-2200rpm,8,200,,
877,Maruti Wagon R Stingray VXI,2013,350000,40000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,90Nm@ 3500rpm,5,90,,
878,Tata Indica V2 DLS TC,2008,100000,40000,Diesel,Individual,Manual,First Owner,16.8,1405,62.0,"12.5@ 2,500(kgm@ rpm)",5,122,,
879,Tata Safari DICOR 2.2 EX 4x2,2012,325000,120000,Diesel,Individual,Manual,First Owner,13.93,2179,138.03,320Nm@ 1700-2700rpm,7,320,,
880,Maruti Wagon R LXI BS IV,2012,220000,360003,Petrol,Individual,Manual,Second Owner,18.9,998,67.1,90Nm@ 3500rpm,5,90,,
881,Renault KWID RXT,2016,330000,20000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,72Nm@ 4386rpm,5,72,,
882,Mahindra Bolero 2011-2019 EX NON AC,2014,480000,37000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,195Nm@ 1400-2200rpm,7,195,,
883,Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,2018,950000,57000,Diesel,Individual,Manual,Second Owner,25.1,1248,88.5,200Nm@ 1750rpm,5,200,,
884,Hyundai Verna Transform SX VGT CRDi,2011,300000,110000,Diesel,Individual,Manual,Second Owner,16.2,1493,110.0,24 KGM at 1900-2750 RPM,5,235,,
885,Toyota Innova 2.5 EV (Diesel) PS 8 Seater BS IV,2013,850000,120000,Diesel,Individual,Manual,Second Owner,12.99,2494,100.57,200Nm@ 1400-3400rpm,8,200,,
886,Tata Tigor 2017-2020 XZ Plus Diesel,2019,900000,8079,Diesel,Dealer,Manual,First Owner,24.7,1047,69.0,140Nm@ 1800-3000rpm,5,140,,
887,Toyota Innova 2.5 Z Diesel 7 Seater BS IV,2015,1325000,114368,Diesel,Dealer,Manual,Second Owner,12.99,2494,100.6,200Nm@ 1200-3600rpm,7,200,,
888,Ford Fiesta Classic 1.4 Duratorq CLXI,2012,350000,79990,Diesel,Dealer,Manual,Second Owner,17.8,1399,67.0,160Nm@ 2000rpm,5,160,,
889,Ford Figo Diesel Titanium,2012,425000,81632,Diesel,Dealer,Manual,First Owner,20.0,1399,68.0,160Nm@ 2000rpm,5,160,,
890,Ford Aspire Titanium Diesel BSIV,2016,600000,155201,Diesel,Dealer,Manual,First Owner,26.1,1498,99.23,215Nm@ 1750-3000rpm,5,215,,
891,Ford Ecosport 1.5 DV5 MT Titanium,2014,750000,101504,Diesel,Dealer,Manual,First Owner,22.7,1498,89.84,204Nm@ 2000-2750rpm,5,204,,
892,Ford Fiesta Classic 1.4 Duratorq CLXI,2012,450000,90165,Diesel,Dealer,Manual,First Owner,17.8,1399,67.0,160Nm@ 2000rpm,5,160,,
893,Ford Figo Titanium Diesel BSIV,2010,325000,86017,Diesel,Dealer,Manual,Second Owner,25.5,1498,99.23,215Nm@ 1750-3000,5,215,,
894,Mahindra XUV500 W8 2WD,2013,900000,85036,Diesel,Dealer,Manual,Second Owner,15.1,2179,140.0,330Nm@ 1600-2800rpm,7,330,,
895,Ford EcoSport 1.5 TDCi Titanium BSIV,2013,600000,125531,Diesel,Dealer,Manual,Second Owner,22.77,1498,98.59,205Nm@ 1750-3250rpm,5,205,,
896,Hyundai Verna VTVT 1.6 SX Option,2019,1100000,10000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,151Nm@ 4850rpm,5,151,,
897,Tata Tiago 1.2 Revotron XZ,2017,520000,20000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,114Nm@ 3500rpm,5,114,,
898,Mahindra Scorpio S10 7 Seater,2015,885000,170000,Diesel,Individual,Manual,First Owner,15.4,2179,120.0,280Nm@ 1800-2800rpm,7,280,,
899,Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,950000,40000,Diesel,Individual,Automatic,First Owner,21.5,1497,108.5,260Nm@ 1500-2750rpm,5,260,,
900,Honda City 1.5 E MT,2008,229999,120000,Petrol,Individual,Manual,Second Owner,17.0,1497,118.0,146Nm at 4800 rpm,5,1431,,
901,Maruti Ritz VDi,2013,409999,100000,Diesel,Individual,Manual,Third Owner,23.2,1248,73.94,190Nm@ 2000rpm,5,190,,
902,Ford Fiesta EXi 1.4 TDCi Ltd,2011,300000,110000,Diesel,Individual,Manual,Third Owner,17.8,1399,68.0,"16.3@ 2,000(kgm@ rpm)",5,159,,
903,Tata Indica V2 DLG TC,2008,175000,120000,Diesel,Individual,Manual,Third Owner,16.8,1405,68.0,"13@ 2,500(kgm@ rpm)",5,127,,
904,Maruti Celerio ZXI,2017,425000,40000,Petrol,Individual,Manual,Second Owner,23.1,998,67.04,90Nm@ 3500rpm,5,90,,
905,Chevrolet Optra Magnum 2.0 LS,2011,272000,170000,Diesel,Individual,Manual,Fourth & Above Owner,16.52,1991,123.7,305Nm@ 2000rpm,5,305,,
906,Hyundai i10 Magna 1.1L,2013,310000,70000,Petrol,Individual,Manual,First Owner,19.81,1086,68.05,99.04Nm@ 4500rpm,5,99,,
907,Hyundai Creta 1.4 CRDi S Plus,2017,1125000,105000,Diesel,Individual,Manual,First Owner,21.38,1396,88.7,219.7Nm@ 1500-2750rpm,5,219,,
908,Hyundai Xcent 1.2 Kappa S Option,2014,450000,46000,Petrol,Individual,Manual,Second Owner,19.1,1197,81.86,113.75Nm@ 4000rpm,5,113,,
909,Volkswagen Polo Diesel Highline 1.2L,2011,388000,80000,Diesel,Individual,Manual,Second Owner,22.07,1199,73.9,180Nm@ 2000rpm,5,180,,
910,Hyundai Verna Transform SX VTVT,2011,400000,60000,Petrol,Individual,Manual,First Owner,16.2,1599,103.2,14.9 KGM at 3000 RPM,5,146,,
911,Honda City i DTEC VX,2015,760000,70000,Diesel,Individual,Manual,Third Owner,25.1,1498,98.6,200Nm@ 1750rpm,5,200,,
912,Maruti Alto LXi,2009,120000,90000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,62Nm@ 3000rpm,5,62,,
913,Maruti Swift Dzire VDI,2019,757000,25000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,190Nm@ 2000rpm,5,190,,
914,Maruti Alto 800 VXI,2015,270000,53000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,69Nm@ 3500rpm,5,69,,
915,Tata Sumo MKII GX BS IV,2011,250000,90000,Diesel,Individual,Manual,Second Owner,13.55,2179,118.35,250Nm@ 1500-3000rpm,7,250,,
916,Toyota Innova Crysta 2.5 VX BS IV,2011,800000,60000,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,20.4@ 1400-3400(kgm@ rpm),7,200,,
917,Toyota Fortuner 4x2 Manual,2014,1380000,150000,Diesel,Individual,Manual,First Owner,13.0,2982,168.5,343Nm@ 1400-3400rpm,7,343,,
918,Mahindra Thar CRDe AC,2014,700000,24000,Diesel,Individual,Manual,First Owner,16.55,2498,105.0,247Nm@ 1800-2000rpm,6,247,,
919,Honda Mobilio S i DTEC,2016,450000,100000,Diesel,Individual,Manual,Second Owner,24.2,1498,98.6,200Nm@ 1750rpm,7,200,,
920,Mahindra KUV 100 G80 K8,2018,650000,6000,Petrol,Individual,Manual,First Owner,18.15,1198,82.0,115Nm@ 3500-3600rpm,6,115,,
921,Mahindra XUV500 W8 2WD,2013,950000,49700,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,330Nm@ 1600-2800rpm,7,330,,
922,Toyota Innova 2.5 E Diesel MS 7-seater,2007,626000,80000,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,20.4@ 1400-3400(kgm@ rpm),7,200,,
923,Maruti Swift Dzire AMT VXI,2019,600000,10000,Petrol,Individual,Automatic,First Owner,21.21,1197,81.8,113Nm@ 4200rpm,5,113,,
924,Renault KWID RXT Optional,2019,290000,21000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,72Nm@ 4386rpm,5,72,,
925,Maruti Alto K10 2010-2014 VXI,2013,215000,25000,Petrol,Individual,Manual,First Owner,20.92,998,67.1,90Nm@ 3500rpm,5,90,,
926,Renault KWID RXT Optional,2016,250000,22000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,72Nm@ 4386rpm,5,72,,
927,Maruti Ertiga SHVS ZDI Plus,2017,750000,50000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,200Nm@ 1750rpm,7,200,,
928,Maruti Alto K10 VXI,2016,250000,20000,Petrol,Individual,Manual,Second Owner,23.95,998,67.05,90Nm@ 3500rpm,5,90,,
929,Honda BRV i-VTEC V CVT,2017,950000,15000,Petrol,Individual,Automatic,First Owner,15.4,1497,117.3,145Nm@ 4600rpm,7,145,,
930,Ford Figo Aspire 1.5 TDCi Titanium,2018,793000,30000,Diesel,Individual,Manual,First Owner,25.83,1498,99.0,215Nm@ 1750-3000rpm,5,215,,
931,Hyundai Creta 1.6 CRDi SX Option,2015,750000,74000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,259.9Nm@ 1900-2750rpm,5,259,,
932,Honda Jazz V CVT,2017,725000,6550,Petrol,Individual,Automatic,First Owner,18.2,1199,88.7,110Nm@ 4800rpm,5,110,,
933,Hyundai Grand i10 CRDi Sportz,2016,480000,30000,Diesel,Individual,Manual,First Owner,24.0,1120,70.0,160Nm@ 1500-2750rpm,5,160,,
934,BMW X6 xDrive30d,2013,3750000,56000,Diesel,Dealer,Automatic,First Owner,11.2,2993,241.0,540Nm@ 2000rpm,4,540,,
935,Maruti Swift Dzire ZXI Plus,2018,795000,41779,Petrol,Dealer,Manual,First Owner,21.21,1197,81.8,113Nm@ 4200rpm,5,113,,
936,Honda Jazz 1.2 V i VTEC,2016,625000,54000,Petrol,Dealer,Manual,First Owner,18.7,1199,88.7,110Nm@ 4800rpm,5,110,,
937,Mercedes-Benz E-Class E250 CDI Avantgarde,2016,2900000,31000,Diesel,Dealer,Automatic,First Owner,13.0,2143,204.0,500Nm@ 1600-1800rpm,5,500,,
938,Maruti Ignis 1.3 AMT Zeta,2017,625000,37000,Diesel,Individual,Automatic,First Owner,26.8,1248,74.0,190Nm@ 2000rpm,5,190,,
939,Chevrolet Cruze LTZ AT,2011,440000,90000,Diesel,Individual,Automatic,Second Owner,18.1,1991,147.9,327Nm@ 2600rpm,4,327,,
940,Toyota Corolla Altis 1.8 G,2018,1400000,13534,Petrol,Dealer,Manual,First Owner,14.28,1798,138.03,173Nm@ 4000rpm,5,173,,
941,Toyota Corolla Altis 1.8 VL AT,2017,1450000,7000,Petrol,Dealer,Automatic,Second Owner,14.53,1794,138.1,173Nm@ 4000rpm,5,173,,
942,Mercedes-Benz GLA Class 200 CDI SPORT,2017,2700000,23000,Diesel,Dealer,Automatic,First Owner,17.9,2143,136.0,300Nm@ 1600-3000rpm,5,300,,
943,Toyota Innova Crysta 2.8 GX AT 8S BSIV,2019,1925000,43000,Diesel,Dealer,Automatic,First Owner,11.36,2755,171.5,360Nm@ 1200-3400rpm,8,360,,
944,Kia Seltos HTX Plus AT D,2020,1900000,5000,Diesel,Dealer,Automatic,First Owner,17.8,1493,113.4,250nm@ 1500-2750rpm,5,250,,
945,Maruti Ciaz RS ZDi Plus SHVS,2017,844999,70000,Diesel,Dealer,Manual,First Owner,28.09,1248,88.5,200Nm@ 1750rpm,5,200,,
946,Skoda Rapid 1.5 TDI AT Style Plus,2016,650000,99000,Diesel,Dealer,Automatic,First Owner,21.66,1498,103.52,250Nm@ 1500-2500rpm,5,250,,
947,Maruti Swift ZXI 2018,2018,750000,15000,Petrol,Dealer,Manual,First Owner,22.0,1197,81.8,113Nm@ 4200rpm,5,113,,
948,BMW 6 Series GT 630d Luxury Line,2018,6000000,28156,Diesel,Dealer,Automatic,First Owner,17.09,2993,261.4,620Nm@ 2000-2500rpm,4,620,,
